OC_omid,issn,EP_id,Publications_in_venue,Open Access
602344,['0172-6404'],471777,12,Unknown
603893886,"['2340-003X', '1137-2346']",471108,18,Unknown
603903626,['0020-6091'],438220,1118,Unknown
603903725,['0214-9915'],446163,1182,True
6101046386,"['1469-3542', '1353-0194']",438654,576,Unknown
61010574,['0031-9384'],340411,29699,Unknown
6101067916,"['2215-0900', '2215-0897']",491653,1,True
6101067942,"['2215-1354', '2215-1362']",488005,68,Unknown
6101067968,"['2215-1486', '2215-1478']",481319,104,Unknown
6101086334,"['1989-7448', '1139-7853']",474791,242,Unknown
6101086794,"['1989-6816', '0213-8093']",489580,143,Unknown
6101086821,"['1989-709X', '2171-2085']",484985,179,Unknown
6101086864,['1989-7103'],483902,22,True
6101086888,['1989-7383'],476649,19,True
6101086967,"['1139-9368', '1989-8193']",485695,110,True
6101087016,"['1989-8452', '1889-979X']",493681,22,True
6101087029,['1989-8487'],486735,9,True
6101087035,['1989-8568'],498623,206,True
6101088110,"['1558-5263', '0920-1297']",469844,449,True
6101096176,"['2542-7466', '2542-7458']",496963,17,Unknown
6101096258,['2543-1587'],496783,28,True
6101096269,"['2543-1684', '0924-6304']",503176,525,True
6101096680,"['2543-3156', '2543-3164']",495275,57,Unknown
6101104220,"['2346-6014', '0131-1441']",481391,47,Unknown
6101130760,"['0211-5913', '2530-8335']",451558,16,Unknown
6101130872,"['2196-7970', '1616-1203']",476375,276,Unknown
6101157473,"['1752-2285', '0967-201X']",343406,274,True
6101227013,"['1470-1553', '1060-1503']",448043,1044,Unknown
6101284231,"['2075-9827', '2313-0210']",487807,154,True
6101288226,['0323-7982'],448266,124,Unknown
6101302731,"['1470-1138', '0263-5143']",446434,836,Unknown
6101304722,"['2052-6148', '0263-7189']",449260,542,Unknown
6101322049,"['0521-9744', '1569-9668']",438318,867,Unknown
6101322349,['0522-8468'],502243,9,True
6101322367,['0524-4544'],493998,30,Unknown
61013294,"['0034-6527', '1467-937X']",343614,3450,Unknown
6101330308,"['2040-8056', '2040-8064']",491325,298,Unknown
6101339207,"['1281-2463', '1775-4283']",476337,424,Unknown
6101340458,['1865-5866'],487502,61,True
6101344133,"['1074-164X', '2161-4741']",470364,85,Unknown
6101412243,['1950-5701'],490827,286,True
6101421179,['2174-0747'],488048,112,True
6101422100,"['1132-9947', '2174-0690']",485444,24,Unknown
6101422187,"['2174-081X', '1888-0967']",476357,67,Unknown
6101422214,"['2174-0887', '1133-0104']",472147,55,Unknown
6101422223,"['2174-0917', '0213-2370']",471167,110,Unknown
6101422244,"['2174-0925', '0214-3402']",493344,85,True
6101422258,"['1578-3820', '2174-1611']",498368,10,True
6101422313,"['0211-6642', '2174-3347']",482005,79,Unknown
6101484643,"['2431-1472', '1637-5823']",483340,42,True
6101501198,"['0569-9878', '1988-8325']",479724,215,True
6101501229,"['0210-847X', '1988-8333']",481993,188,True
6101501288,"['0018-2141', '1988-8368']",441159,436,True
6101502533,"['2397-9712', '2397-9704']",494800,45,Unknown
6101515086,"['2374-5118', '2374-5126']",486387,367,Unknown
6101516474,"['2067-5860', '1224-032X']",482987,8,True
6101516479,"['2065-9474', '1224-0869']",494634,28,Unknown
6101516501,"['1224-5704', '2393-3682']",482988,9,Unknown
6101523351,"['1848-7971', '1846-5412']",485494,37,True
6101602265,['1804-2724'],488695,48,Unknown
6101602415,"['1804-5081', '1804-509X']",485432,63,True
6101602448,"['1805-8868', '1804-526X']",484814,54,Unknown
610160859,"['0393-2516', '1972-5558']",446660,288,Unknown
6101614718,"['2496-4476', '2553-6087']",490688,88,Unknown
6101614801,['2497-3610'],502036,3,True
6101628865,"['1337-8163', '2585-8459']",486991,1,True
6101628917,"['2585-8955', '2585-8947']",493615,27,True
6101628984,['2755-0923'],503325,2,True
6101643924,"['1885-446X', '2254-9099']",484913,122,True
6101644524,['2255-0461'],486633,68,True
6101644971,"['1133-3634', '2254-9307']",484031,129,Unknown
6101645046,"['2171-0147', '2254-9633']",485906,13,Unknown
6101645099,"['1697-0810', '2255-0771']",486222,15,Unknown
6101645150,"['2255-1271', '1578-908X']",490537,198,Unknown
6101645215,"['2232-9935', '2232-996X']",491618,14,True
6101656238,['2172-9077'],485762,94,True
6101679011,['2082-6931'],502617,8,Unknown
6101679015,['2082-7067'],500383,7,Unknown
6101679022,['2082-7539'],485234,9,True
6101679031,['2082-8322'],502079,9,Unknown
6101679037,['2082-8411'],485862,12,Unknown
6101679049,"['2082-8578', '2544-5219']",484873,17,Unknown
6101679080,"['2082-8799', '1899-1998']",484796,278,Unknown
6101679204,"['2720-0078', '2082-9701']",485412,131,Unknown
6101679223,"['1896-656X', '2719-3276']",497955,77,Unknown
6101679257,['2719-3454'],498683,49,True
