EP_id,Publications_in_venue,Original_Title,Country_of_Publication,ERIH_PLUS_Disciplines,disc_count
471777,12,Historical Social Research,Germany,"History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences, Sociology",4
471108,18,Moenia,Spain,"Linguistics, Literature",2
438220,1118,Audiology,Switzerland,Linguistics,1
446163,1182,Psicothema,Spain,Psychology,1
438654,576,British Journal of Middle Eastern Studies,United Kingdom,History,1
340411,29699,Physiology and Behavior,Netherlands,Psychology,1
491653,1,SPOOL,Netherlands,"Art and Art History, Interdisciplinary research in the Humanities, Interdisciplinary research in the Social Sciences",3
488005,68,Asia-Pacific Language Variation,Netherlands,Linguistics,1
481319,104,International Journal of Learner Corpus Research,Netherlands,Linguistics,1
474791,242,Revista Española de Orientación y Psicopedagogía,Spain,Pedagogical & Educational Research,1
489580,143,"CIRIEC-España, revista de economia pública, social y cooperativa",Spain,"Business and Management, Economics, Law, Sociology, Interdisciplinary research in the Social Sciences",5
484985,179,"Psychology, Society, & Education",Spain,"Pedagogical & Educational Research, Psychology",2
483902,22,Language Value,Spain,"Linguistics, Pedagogical & Educational Research",2
476649,19,Castilla. Estudios de Literatura,Spain,Literature,1
485695,110,Thélème. Revista Complutense de Estudios Franceses,Spain,"Cultural Studies, Linguistics, Literature",3
493681,22,ARTE Y POLITICAS DE IDENTIDAD,Spain,"Art and Art History, Gender Studies, Cultural Studies, Media Studies and Communication, Film and Theatre Studies, Interdisciplinary research in the Humanities",6
486735,9,Sociología y tecnociencia/Sociology & Technoscience/Sociologia e tecnociência,Spain,"History & Philosophy of Science, Interdisciplinary research in the Social Sciences, Philosophy, Science and Technology Studies, Sociology",5
498623,206,Ge-conservacion,Spain,"Art and Art History, Interdisciplinary research in the Humanities",2
469844,449,Focaal: Journal of Global and Historical Anthropology,Netherlands,Anthropology,1
496963,17,China Law and Society Review,Netherlands,"Law, Political Sciences and International Relations",2
496783,28,Early Modern Low Countries,Netherlands,Interdisciplinary research in the Humanities,1
503176,525,Maandblad voor Accountancy en Bedrijfseconomie (MAB),Netherlands,Economics,1
495275,57,"Language, Culture and Society",Netherlands,"Anthropology, Linguistics",2
481391,47,Keel ja Kirjandus. Eesti Teaduste Akademia ja Eesti Kirjanike Liidu ajakiri,Estonia,Linguistics,1
451558,16,Revista Canaria de Estudios Ingleses (RCEI),Spain,"Linguistics, Literature",2
476375,276,KulturPoetik,Germany,Literature,1
343406,274,Anthropology in Action,United Kingdom,Anthropology,1
448043,1044,Victorian Literature and Culture,United Kingdom,Literature,1
487807,154,Carpathian Mathematical Publications,Ukraine,Science and Technology Studies,1
448266,124,Zeitschrift für Germanistik,Switzerland,Literature,1
446434,836,Research in Science & Technological Education,United Kingdom,Pedagogical & Educational Research,1
449260,542,Libyan Studies,United Kingdom,Archaeology,1
438318,867,Babel,Netherlands,Linguistics,1
502243,9,Anali Filološkog fakulteta,Serbia,"Linguistics, Literature",2
