,EP_id,Publications_in_venue,OC_omid,issn,Open Access
2595,470652,273682,068038897,['1932-6203'],True
530,422484,210851,0626016512,"['1744-7933', '0028-0836', '1476-4679', '1465-7392', '1476-4687']",Unknown
266,341841,160755,0619015403,"['1095-9203', '0036-8075']",Unknown
229,341568,150091,0621062545,"['0027-8424', '1091-6490']",Unknown
244,341662,103430,0623041985,['0006-8993'],Unknown
394,343110,58417,061409645,['0001-4966'],Unknown
2810,472952,53430,064026276,"['1661-7827', '1660-4601']",True
151,340879,49588,063033808,"['0031-4005', '1098-4275']",Unknown
3210,477519,33774,061205305,['1664-1078'],True
86,340411,29699,061010574,['0031-9384'],Unknown
272,341881,28069,0623054690,"['0002-953X', '1535-7228']",Unknown
258,341795,25299,06401254,['0091-3057'],Unknown
1401,442558,24793,066039289,"['1938-1328', '0021-9584']",Unknown
332,342510,21685,0616038848,['0042-6989'],Unknown
412,343253,20512,061405400,['0006-3223'],Unknown
85,340401,18952,065054328,"['1432-0614', '0171-1741', '0340-2118', '0175-7598']",Unknown
442,343476,17787,06808577,['0165-0327'],Unknown
240,341621,17372,067017443,"['1872-6623', '0304-3959']",Unknown
457,343622,17359,062204296,['0166-4328'],Unknown
395,343115,17302,06307482,"['1432-2072', '0033-3158']",Unknown
1407,442612,15714,0614010929,"['0021-9762', '1097-4679']",Unknown
469,343707,15619,061903008,"['0014-4819', '1432-1106']",Unknown
303,342177,14677,068025601,['0003-3472'],Unknown
263,341830,13977,06507689,['0920-9964'],Unknown
273,341882,13871,0615016934,"['1469-1825', '0140-525X']",Unknown
844,439030,13754,06102845,"['0009-3920', '1467-8624']",Unknown
446,343512,13581,0623052934,['0028-3932'],Unknown
257,341793,13075,067043489,['0191-8869'],Unknown
253,341769,12879,0611018657,"['0022-3514', '1939-1315']",Unknown
192,341230,12524,068047615,['0165-1765'],Unknown
160,340992,11891,061703716983,"['0022-006X', '0095-8891']",Unknown
648,437499,11875,0624049444,"['0145-6008', '1530-0277']",Unknown
1406,442611,10778,061302092741,['1555-2101'],Unknown
279,341947,10732,0623014200,"['1360-0443', '0965-2140']",Unknown
550,425633,10306,0623021472,['0022-3999'],Unknown
534,423037,10105,0621046459,"['1096-8644', '0002-9483']",Unknown
655,437552,10094,0614033848,"['0002-8762', '1937-5239']",Unknown
361,342812,9965,0619026442,"['0001-690X', '1600-0447']",Unknown
665,437631,9800,067032830,"['1935-990X', '0003-066X']",Unknown
351,342715,9454,061062988,['1040-6182'],Unknown
1758,444535,9447,063041782,"['1526-5501', '0025-1909']",Unknown
711,437975,9440,06601573,"['1600-6143', '0905-7196', '1600-6135', '1600-0471']",Unknown
548,425478,9370,0624028682,['1054-139X'],Unknown
610,436416,9256,061105191,['0148-2963'],Unknown
186,341159,9234,0619035383,"['0033-2917', '1469-8978']",Unknown
455,343615,9067,06609894,['0306-4603'],Unknown
652,437535,9037,0619059929,"['1548-1433', '0002-7294']",Unknown
1396,442524,9021,0625030003,"['0167-4544', '1573-0697']",Unknown
392,343080,8778,068010724,['0005-7967'],Unknown
1652,443965,8698,0612042650,"['1476-9360', '0160-5682']",Unknown
1377,442433,8647,0622032144,"['0021-9010', '1939-1854']",Unknown
90,340441,8612,0613017468,['0890-8567'],Unknown
139,340772,8347,061020044,"['1469-7580', '0021-8782']",Unknown
62,340222,8289,06104080414,['0021-843X'],Unknown
1038,440307,8271,065018561,['1525-5050'],Unknown
104,340538,8217,06605663,['0010-9452'],Unknown
593,435330,8149,0616028761,"['0308-0110', '1365-2923']",Unknown
413,343260,8147,0625031439,"['0161-8105', '1550-9109']",Unknown
661,437606,7909,0623054829,"['1939-8298', '0002-9556']",Unknown
148,340856,7749,0622019292,['0022-3956'],Unknown
1387,442470,7710,063011890,"['0021-9185', '1573-3432', '0162-3257']",Unknown
170,341056,7680,0624049290,['0145-2134'],Unknown
330,342504,7677,0625016740,['0305-750X'],Unknown
1983,446216,7648,06205299,['0033-3182'],Unknown
376,342926,7608,0621044979,"['0039-7857', '1573-0964']",Unknown
404,343194,7595,066013973,['0277-9536'],Unknown
256,341784,7564,0625033069,"['0013-0133', '1468-0297']",Unknown
959,439860,7482,0611018581,"['0012-1649', '1939-0599']",Unknown
898,439429,7455,061901332,['0747-5632'],Unknown
1304,441984,7439,061018476,"['1873-7579', '0925-5273']",Unknown
48,340115,7380,065014611,"['0277-3791', '1873-457X']",Unknown
251,341737,7307,0623012761,"['1470-2738', '0143-005X']",Unknown
432,343397,7228,062105433,"['0022-0663', '1939-2176']",Unknown
1472,442907,7003,061103679963,"['0096-3445', '0022-1015']",Unknown
300,342146,6943,0622011252,"['0003-0554', '1537-5943']",Unknown
322,342357,6910,0617018303,['0378-3782'],Unknown
540,423797,6893,062025773,"['1552-3888', '0013-1644']",Unknown
227,341539,6860,0626055628,"['0138-9130', '1588-2861']",Unknown
781,438613,6844,0613057039,['0387-7604'],Unknown
2197,447400,6705,0623025672,['0040-1625'],Unknown
96,340471,6608,0626041652,"['0014-0139', '1366-5847']",Unknown
93,340462,6605,0626030860,['0149-7634'],Unknown
281,341960,6578,066064112,"['1546-1726', '1097-6256']",Unknown
350,342714,6574,06402911,"['0022-4545', '1940-1183']",Unknown
435,343412,6564,065048299,"['0048-5772', '1469-8986']",Unknown
114,340596,6449,0611018551,"['1939-0084', '0735-7044']",Unknown
1772,444721,6333,0624023089,"['0142-159X', '1466-187X']",Unknown
131,340705,6262,06304115,"['0003-598X', '1745-1744']",Unknown
206,341346,6232,068069081,"['1534-7796', '0033-3174']",Unknown
2,339732,6229,0611018616,"['1939-1277', '0096-1523']",Unknown
57,340169,6183,0621019353,['0001-6918'],True
1384,442447,6167,062047876,['0305-4403'],Unknown
286,342000,6121,0612031572,"['0340-5443', '1432-0762']",Unknown
1470,442903,6105,0614023745,['0022-0965'],Unknown
209,341380,6098,061401342,"['1097-0177', '1058-8388']",Unknown
1930,445818,6077,062507979,"['0031-921X', '1943-4928']",Unknown
1830,445118,6036,062402893,['0893-6080'],Unknown
571,430165,6027,062108471,['0010-0277'],Unknown
1676,444137,6018,066031348,"['1079-5006', '1758-535X']",Unknown
357,342753,6018,0621066071,"['1097-0193', '1065-9471']",True
490,413929,6015,061028154,"['0886-2605', '1552-6518']",Unknown
78,340353,6003,0622019323,"['1940-1019', '0022-3980']",Unknown
198,341274,5994,0615063879,['0093-934X'],Unknown
103,340523,5983,0617051560,"['1939-8271', '0003-1224']",Unknown
73,340312,5974,06302658,['0167-8760'],Unknown
28,339958,5961,0616031735,"['0022-1082', '1540-6261']",Unknown
2554,470217,5960,0622050842,"['1872-8308', '0376-6357']",Unknown
1965,446189,5878,0621032882,"['1939-1455', '0033-2909']",Unknown
1626,443779,5860,0623062916,"['1558-9102', '1092-4388']",Unknown
1547,443302,5853,066010032,"['1473-4257', '0306-6800']",Unknown
1604,443707,5850,067055362,"['1746-1561', '0022-4391']",Unknown
1441,442778,5818,0624030200,['0167-2681'],Unknown
1540,443256,5810,064064663,"['0022-2429', '1547-7185']",Unknown
1632,443823,5765,06802830,"['0022-4812', '1943-5886']",Unknown
618,437111,5765,0613010252,"['1948-0989', '0001-4273']",Unknown
1216,441239,5737,0617015310,['0018-506X'],Unknown
254,341779,5703,069027326,"['0021-9630', '1469-7610']",Unknown
22,339932,5692,06404512,['0003-6870'],Unknown
659,437589,5643,0611018477,"['0002-9432', '1939-0025']",Unknown
100,340509,5641,061021268,"['0002-9300', '2161-7953']",Unknown
327,342475,5550,0626038220,"['1098-108X', '0276-3478']",Unknown
1883,445582,5400,06205416,"['0033-3352', '1540-6210']",Unknown
1458,442806,5342,062105524,"['0022-0671', '1940-0675']",Unknown
116,340610,5305,061801255,"['1468-4233', '0301-0066']",Unknown
165,341027,5287,061307329,"['0303-8300', '1573-0921']",Unknown
47,340107,5270,0617038460,"['1573-2762', '0360-0025']",Unknown
425,343328,5262,068015336,"['0586-7614', '1745-1701']",Unknown
164,341018,5214,0611018632,"['1939-1285', '0278-7393']",Unknown
299,342145,5186,068010595,"['1573-2800', '0004-0002']",Unknown
421,343298,5178,061706972,['0264-9993'],Unknown
291,342082,5103,0619026276,"['0031-8116', '1573-0883']",Unknown
6,339775,5095,065050538,"['0956-7976', '1467-9280']",Unknown
49,340125,5088,0613010044,"['1360-0451', '0954-0121']",Unknown
1894,445664,5076,0614024915,"['0146-1672', '1552-7433']",Unknown
653,437536,5040,069042315,"['0002-7316', '2325-5064']",Unknown
176,341098,4999,064064783,"['1741-3737', '0022-2445']",Unknown
18,339904,4986,062105337,['0022-0531'],Unknown
366,342838,4933,0619023463,['0959-4388'],Unknown
389,343037,4906,0617018112,"['0378-2166', '1879-1387']",Unknown
411,343251,4893,0614044004,['0301-0511'],Unknown
608,436387,4888,061901364,"['0030-8129', '1938-1530']",Unknown
569,430156,4875,0611030801,"['0090-502X', '1532-5946']",Unknown
897,439424,4872,064014196,['0360-1315'],Unknown
3246,477763,4734,066048602,['2158-2440'],True
1982,446213,4725,0616051809,"['1099-1611', '1057-9249']",Unknown
345,342624,4717,0625059666,['0014-2921'],Unknown
242,341650,4709,0614026277,['0740-5472'],Unknown
1378,442434,4697,06601653,"['1559-1816', '0021-9029']",Unknown
76,340337,4694,0615018044,['0891-4222'],Unknown
1968,446192,4685,0622031969,"['1939-1471', '0033-295X']",Unknown
1840,445221,4678,0612016315,"['1469-994X', '1462-2203']",Unknown
575,432030,4647,067015740,"['0736-5748', '1873-474X']",Unknown
1642,443916,4633,0614022045,"['1938-3711', '0022-5002']",Unknown
1430,442713,4614,0623035277,"['0022-0167', '1939-2168']",Unknown
1501,443050,4592,0613023321,"['0022-1546', '1538-4640']",Unknown
1170,441084,4509,0617012836,"['1930-7810', '0278-6133']",Unknown
447,343536,4490,0614020480,"['1045-2249', '1465-7279']",Unknown
187,341163,4483,0624051678,"['1879-3193', '0261-5177']",Unknown
230,341575,4482,065048354,"['1573-7101', '0048-5829']",Unknown
297,342135,4460,0622029305,['0278-2626'],Unknown
1973,446204,4446,0621028179,"['1520-6807', '0033-3085']",Unknown
2177,447289,4402,0613023220,"['1082-6084', '1532-2491']",Unknown
1341,442185,4382,0612041165,"['1545-6994', '0021-1753']",Unknown
549,425568,4378,0621032673,"['1471-0048', '1471-003X']",Unknown
101,340510,4375,0622019123,"['1532-7752', '0022-3891']",Unknown
576,432302,4375,0621018248,"['1468-2508', '0022-3816']",Unknown
225,341534,4367,061064077,"['0070-3370', '1533-7790']",Unknown
586,434430,4341,0617035439,['0047-2484'],Unknown
1920,445748,4305,061047646,"['0031-8248', '1539-767X']",Unknown
