,OC_omid,issn
32,06101168457,['0091-7729']
67,06101490262,['2308-8850']
222,06102237553,['1428-9512']
313,06102804069,['1519-5538']
334,06103015605,['0145-2258']
384,06104080414,['0021-843X']
386,06104159486,['0193-5380']
443,0610851515,['1945-6182']
449,0610964051,['0027-0741']
458,061101008922,['1350-7532']
507,061101312414,['2658-1248']
528,061101520732,['2532-6457']
584,061101801595,['2611-934X']
591,061101820381,['2182-2875']
598,0611018574,"['1939-0106', '1099-9809']"
645,061102045660,['1549-4721']
654,061102099048,['0716-9108']
658,061102118704,['2564-8837']
675,061102154400,['2080-5926']
712,061102731357,['2327-5812']
745,061103679963,"['0096-3445', '0022-1015']"
746,061103729950,"['0097-8507', '1535-0665']"
794,06110861527,['1550-1558']
840,061201279554,['1730-1912']
846,061201299640,['1842-0206']
850,0612013397,"['0029-8077', '1834-4461']"
853,061201413887,['0021-6682']
944,061201867648,['0039-3657']
946,061201884347,['2300-8814']
970,061201938439,['2317-2444']
1052,061202775128,['1529-1456']
1071,061203662044,"['0022-1015', '0096-3445']"
1073,061203776836,['0884-3236']
1077,0612038332,['0969-5931']
1097,061205292,"['1350-1763', '1466-4429']"
1098,061205292,"['1466-4429', '1350-1763']"
1126,06120873544,['1527-8050']
1158,061301057787,['2008-7330']
1176,061301283322,['0717-8832']
1199,061301436871,['2663-2144']
1218,061301597513,['0718-7181']
1276,061301899349,['0718-1043']
1319,061302071039,['0719-756X']
1320,061302071046,['0719-7586']
1329,061302092741,['1555-2101']
1361,061302225975,['1937-1209']
1363,06130223865,['0019-7289']
1378,061302629771,['2148-5860']
1385,061302709439,['2327-6207']
1410,061303532917,['2080-5926']
1413,061303604505,"['0029-8077', '0003-8121']"
1416,061303652239,"['0022-1015', '0096-3445']"
1420,061303708183,['0146-7891']
1421,061303752507,['0709-4698']
1422,061303775151,['1045-6007']
1445,0613045078,['0160-6689']
1632,061401848526,['1645-1112']
1677,061401957283,['0862-8432']
1727,0614021931,['1538-4586']
1732,0614022130,['0022-5037']
1782,061403686241,['0036-7834']
1839,06140842484,['2454-0722']
1851,061501061826,['2163-9108']
1865,061501136268,['0009-8418']
1891,061501371869,['0255-2981']
1894,061501439935,['2300-7567']
1924,061501642678,['2660-7395']
1930,061501646981,['1086-3222']
1943,061501697021,['1338-8339']
1956,061501823588,['1522-9270']
1995,061501902709,['1138-9435']
2069,061502232111,['1937-1217']
2119,061503658425,"['0735-7036', '0021-9940']"
2121,061503742489,['0282-423X']
2161,06150681542,['0547-3101']
2183,06150885891,['1527-9421']
2185,06150913396,['1534-0708']
2187,06150913779,['1534-150X']
2211,061601122743,['2317-6830']
2237,061601280793,['2153-3873']
2272,061601571369,['2284-1784']
2284,061601640090,['2183-2242']
2289,061601651237,['1086-3249']
2290,061601651391,['1086-3257']
2311,061601780546,['0027-4380']
2318,061601810220,['2317-4056']
2326,061601861081,['2056-9017']
2360,061601950673,['2310-7189']
2388,061602085651,['2362-3306']
2416,061602242214,['2001-7367']
2463,061603624456,['0004-0975']
2488,06160504086,['1054-8289']
